Date,Value,Anomaly
193611,37.6,-6.1
193711,42.1,-1.6
193811,44.5,0.8
193911,38.9,-4.8
194011,41,-2.7
194111,46.1,2.4
194211,41.6,-2.1
194311,41.4,-2.3
194411,41.3,-2.4
194511,43.6,-0.1
194611,46,2.3
194711,39.3,-4.4
194811,47.8,4.1
194911,41.6,-2.1
195011,45.9,2.2
195111,40.7,-3
195211,43,-0.7
195311,46.7,3
195411,42.5,-1.2
195511,40,-3.7
195611,44.2,0.5
195711,45.2,1.5
195811,44.6,0.9
195911,42.5,-1.2
196011,46.1,2.4
196111,42.7,-1
196211,39.9,-3.8
196311,46.4,2.7
196411,43.8,0.1
196511,40.8,-2.9
196611,45.5,1.8
196711,38.8,-4.9
196811,42.5,-1.2
196911,43.1,-0.6
197011,44,0.3
197111,41.6,-2.1
197211,40.8,-2.9
197311,44.3,0.6
197411,42.7,-1
197511,49.2,5.5
197611,39.3,-4.4
197711,45.5,1.8
197811,41.9,-1.8
197911,47,3.3
198011,39.6,-4.1
198111,42.2,-1.5
198211,46,2.3
198311,45.1,1.4
198411,43.6,-0.1
198511,44.5,0.8
198611,41.3,-2.4
198711,42.9,-0.8
198811,45.7,2
198911,41.8,-1.9
199011,47.6,3.9
199111,44.2,0.5
199211,41.9,-1.8
199311,44.7,1
199411,48,4.3
199511,40.9,-2.8
199611,39.5,-4.2
199711,41.8,-1.9
199811,44.6,0.9
199911,48,4.3
200011,43.8,0.1
200111,48.3,4.6
200211,42.9,-0.8
200311,45.9,2.2
200411,44.3,0.6
200511,45.9,2.2
200611,49.1,5.4
200711,43,-0.7
200811,43.4,-0.3
200911,48.8,5.1
201011,44.8,1.1
201111,50.4,6.7
201211,42.1,-1.6
201311,42.7,-1
201411,42.5,-1.2
201511,48.6,4.9
201611,46.2,2.5
201711,43.7,0
201811,41.6,-2.1
