weight,width,height,color_R,color_G,color_B,target
5.1,2.625,2.375,151,69,31,1
5.1,2.625,2.375,151,69,31,1
7.6,3,3.25,83,22,21,1
5,2.5,3,100,164,174,1
9.2,3.5,3,126,78,32,1
9.2,3.5,3,121,68,28,1
7.4,9.5,3.25,90,46,34,1
7.4,3.4,3.1,134,18,2,1
7.4,3.4,3.1,134,18,2,1
7.6,2.75,3.25,160,55,43,1
6.7,2.8,3.17,165,48,62,1
7.5,3,3.2,164,54,42,1
7.5,3,3.2,164,54,42,1
0,0,0,0,0,0,1
3.5,2.5,2,128,56,46,1
7.4,3,3.625,116,46,57,1
5.28,3.2,3,213,205,190,1
5.28,3.2,3,213,205,190,1
0,0,0,0,0,0,1
5.28,3.2,3,213,205,190,1
6.2,5,7.5,132,114,49,5
6.2,5,7.5,132,114,49,5
3.8,4,6,158,121,31,5
5,1.5,6,156,123,28,5
5,1.5,6,183,145,4,5
6.1,1.75,8,169,140,52,5
4,2.5,9,220,186,43,5
0.9,1.5,8,190,160,77,5
6.1,5.25,7.5,183,153,38,5
6.1,5.25,7.5,183,153,38,5
6.1,5,7.5,183,153,38,5
5.1,2,7.5,191,137,36,5
2.1,1.95,1.4,177,94,31,4
2.7,2,2,73,88,25,4
1.2,2,3,84,74,65,6
1.2,2,3,84,74,65,6
4.6,3.65,4.1,213,167,36,7
4.6,3.65,4.1,213,167,36,7
4.6,3.65,4.1,213,167,36,7
11.3,3.5,4,172,85,4,2
8.7,2.8,3.25,176,106,0,2
11.4,11.5,12.7,198,148,60,2
8.6,3.15,3.15,168,110,36,2
8.6,3.15,3.15,168,110,36,2
8.6,3.15,3.15,168,110,36,2
8.2,3,5,146,143,38,3
8.2,4,5.5,158,148,36,3
